Region Name,ITL,ITL code,year,value,LAD23CD,LAD23NM,ITL321CD,ITL321NM
Darlington,ITL3,TLC13,1999,161.8,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2000,151.4,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2001,144.6,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2002,141.1,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2003,136.6,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2004,133.2,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2005,132.3,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2006,129.0,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2007,129.0,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2008,128.8,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2009,126.6,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2010,123.9,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2011,121.1,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2012,119.0,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2013,118.4,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2014,112.5,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2015,107.4,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2016,105.6,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2017,103.5,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2018,100.1,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2019,100.0,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2020,104.9,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2021,101.1,E06000005,Darlington,TLC13,Darlington
Darlington,ITL3,TLC13,2022,102.5,E06000005,Darlington,TLC13,Darlington
Durham CC,ITL3,TLC14,1999,62.9,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2000,63.8,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2001,64.4,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2002,66.2,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2003,68.2,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2004,70.1,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2005,73.1,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2006,75.7,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2007,77.4,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2008,81.2,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2009,85.2,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2010,85.0,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2011,86.2,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2012,87.8,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2013,89.9,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2014,91.4,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2015,92.5,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2016,95.2,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2017,96.5,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2018,98.1,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2019,100.0,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2020,104.4,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2021,104.6,E06000047,County Durham,TLC14,Durham
Durham CC,ITL3,TLC14,2022,110.1,E06000047,County Durham,TLC14,Durham
Northumberland,ITL3,TLC21,1999,67.9,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2000,68.4,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2001,68.6,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2002,70.2,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2003,71.7,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2004,73.0,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2005,75.5,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2006,76.9,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2007,79.9,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2008,83.8,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2009,86.1,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2010,86.6,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2011,88.3,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2012,88.9,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2013,89.7,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2014,90.5,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2015,91.7,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2016,95.1,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2017,96.4,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2018,98.2,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2019,100.0,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2020,106.9,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2021,106.8,E06000057,Northumberland,TLC21,Northumberland
Northumberland,ITL3,TLC21,2022,112.4,E06000057,Northumberland,TLC21,Northumberland
Sunderland,ITL3,TLC23,1999,68.9,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2000,69.2,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2001,66.8,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2002,69.3,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2003,70.3,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2004,72.7,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2005,75.8,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2006,77.7,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2007,79.1,E08000024,Sunderland,TLC23,Sunderland
Sunderland,ITL3,TLC23,2008,81.7,E08000024,Sunderland,TLC23,Sunderland
