local_authority_name,year_quarter,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs,all_motor_vehicles,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_code,easting,northing,latitude,longitude,count_records
Barnet,2000Q1,104.0,1933.0,97442.0,1198.0,17548.0,2750.0,276.0,515.0,413.0,772.0,487.0,5213.0,123334.0,2000.0,6.0,London,E12000007,57.0,E09000003,"528000, 522440, 527000, 522170, 520797","188800, 192132, 192140, 189100, 190000","51.615065476, 51.595550533, 51.587520736, 51.583757877, 51.613547226","-0.237952792, -0.233743813, -0.168381002, -0.256717991, -0.152738285",120.0
Barnet,2000Q2,1031.0,7010.0,317839.0,6145.0,54244.0,10108.0,974.0,1003.0,937.0,1290.0,922.0,15234.0,400472.0,2000.0,6.0,London,E12000007,57.0,E09000003,"524000, 523781, 525000, 521000, 524969, 519450, 524430, 526030, 524526, 527480, 520050, 528724, 523990, 525400, 526330, 522300","190400, 192800, 190529, 190660, 196420, 195000, 193000, 190570, 189550, 188815, 190000, 192880, 188114, 193939, 187540, 188120, 190330","51.62135608, 51.65290542, 51.599749769, 51.578308347, 51.629549098, 51.598177526, 51.584444244, 51.620315221, 51.590855961, 51.598583593, 51.573101741, 51.601187135, 51.621652679, 51.578093523, 51.621025307, 51.595114917, 51.639693324, 51.601512365","-0.212102024, -0.196662514, -0.191193955, -0.268035952, -0.176534506, -0.197473696, -0.253557068, -0.205029473, -0.180146523, -0.235534069, -0.275935763, -0.159975332, -0.197063936, -0.215058416, -0.208963505, -0.14162732, -0.204064313, -0.211261795",432.0
Barnet,2000Q3,207.0,3842.0,164353.0,2117.0,28876.0,5361.0,666.0,752.0,631.0,902.0,908.0,9220.0,208408.0,2000.0,6.0,London,E12000007,57.0,E09000003,"520760, 522280, 523380, 523000","195000, 187700, 188400","51.574675556, 51.574914992, 51.640848414, 51.581049435","-0.256264113, -0.226223456, -0.220987695, -0.236852872",96.0
Barnet,2000Q4,322.0,3666.0,154664.0,1743.0,28829.0,4885.0,512.0,1059.0,612.0,1126.0,834.0,9028.0,197930.0,2000.0,6.0,London,E12000007,57.0,E09000003,"525000, 521840, 518000, 517650, 526930, 520150, 523100, 527550","192000, 191270, 193900, 190000, 193200, 195000, 194300, 194270","51.634946204, 51.605830878, 51.634687942, 51.613654631, 51.630037489, 51.594557711, 51.625256573, 51.640341615","-0.265315076, -0.241707328, -0.301431093, -0.159550095, -0.195415409, -0.168957215, -0.296736445, -0.222465543",192.0
Barnet,2001Q1,42.0,1389.0,98637.0,1033.0,17188.0,3245.0,447.0,421.0,318.0,633.0,520.0,5584.0,123831.0,2001.0,6.0,London,E12000007,57.0,E09000003,"519450, 523380, 520797, 521230","192800, 192132, 196540, 187700","51.62135608, 51.574675556, 51.615065476, 51.654587436","-0.220987695, -0.275935763, -0.256717991, -0.24894224",96.0
Barnet,2001Q2,1115.0,9164.0,437140.0,7557.0,74682.0,11706.0,1413.0,1925.0,1340.0,1822.0,1729.0,19935.0,548478.0,2001.0,6.0,London,E12000007,57.0,E09000003,"528000, 526600, 525200, 521110, 521750, 527000, 526620, 520760, 522170, 527480, 527550, 520000, 522050, 525000, 523600, 524500, 528724, 523990, 524000, 524526, 521970, 523000","188800, 188160, 190600, 188815, 193170, 193939, 187540, 196000, 190880, 191270, 191400, 189100, 190000, 195000, 196420, 192460, 195670, 196700, 188000, 193900, 188400, 192880, 187000, 190330","51.587520736, 51.61818356, 51.573101741, 51.60865715, 51.581049435, 51.645269868, 51.605830878, 51.630037489, 51.649760277, 51.600019451, 51.584444244, 51.620315221, 51.629549098, 51.65290542, 51.583757877, 51.581320575, 51.622803428, 51.655311322, 51.59529746, 51.567983868, 51.577678215, 51.579098851, 51.640848414, 51.598177526, 51.602540228","-0.212102024, -0.268111221, -0.256264113, -0.268473779, -0.226223456, -0.159550095, -0.250862871, -0.194987723, -0.201640176, -0.244254655, -0.241219933, -0.168381002, -0.237952792, -0.15144916, -0.195415409, -0.152362382, -0.217005718, -0.1734014, -0.211261795, -0.159975332, -0.14162732, -0.173213762, -0.208963505, -0.240010473, -0.204064313",576.0
Barnet,2001Q3,335.0,4438.0,170943.0,2945.0,31124.0,5816.0,691.0,783.0,714.0,1209.0,1039.0,10252.0,219702.0,2001.0,6.0,London,E12000007,57.0,E09000003,"524000, 524900, 521840, 521200, 520150, 526330, 523100","192000, 195000, 191980, 185870, 189400, 194300, 192030","51.589618885, 51.634687942, 51.55809348, 51.613654631, 51.614062257, 51.612486217, 51.640341615","-0.265315076, -0.212690649, -0.241707328, -0.250935592, -0.198461147, -0.176901876, -0.222465543",156.0
Barnet,2001Q4,395.0,2518.0,106372.0,1274.0,20244.0,5063.0,581.0,461.0,422.0,756.0,590.0,7873.0,138281.0,2001.0,6.0,London,E12000007,57.0,E09000003,"524130, 525870, 526000, 525680, 526330","193000, 190000, 189000, 191620","51.594837699, 51.609324865, 51.621652679, 51.586194107, 51.59479532","-0.176534506, -0.181794519, -0.18425171, -0.186993199, -0.209711573",120.0
Barnet,2002Q1,50.0,149.0,12112.0,550.0,1477.0,240.0,21.0,15.0,4.0,3.0,4.0,287.0,14575.0,2002.0,6.0,London,E12000007,57.0,E09000003,"524000, 520797","192132, 196420","51.615065476, 51.65290542","-0.208963505, -0.256717991",48.0
Barnet,2002Q2,1007.0,10311.0,500828.0,6097.0,80188.0,16038.0,2264.0,2804.0,1441.0,2903.0,2357.0,27807.0,625231.0,2002.0,6.0,London,E12000007,57.0,E09000003,"528000, 518400, 523781, 518540, 527000, 526500, 526000, 520760, 522170, 527550, 525000, 526030, 526930, 524500, 528724, 523990, 519000, 524000, 524526, 523380, 527480","188800, 189830, 192140, 188815, 189330, 193939, 187540, 193300, 191000, 191270, 189100, 190000, 187700, 195000, 191950, 187470, 188114, 188120, 193000, 193900, 192880, 190330","51.573101741, 51.587520736, 51.613812159, 51.640848414, 51.572252041, 51.623345743, 51.593238532, 51.578093523, 51.603641086, 51.629549098, 51.584444244, 51.620315221, 51.574675556, 51.605830878, 51.639693324, 51.613547226, 51.630037489, 51.583757877, 51.594557711, 51.626071365, 51.578308347, 51.589078242, 51.598177526","-0.282721259, -0.256264113, -0.204256905, -0.212102024, -0.289006811, -0.182436946, -0.174801282, -0.159550095, -0.290926928, -0.168381002, -0.168957215, -0.237952792, -0.197704778, -0.197473696, -0.195415409, -0.215058416, -0.220987695, -0.152738285, -0.211261795, -0.159975332, -0.180146523, -0.14162732, -0.204064313",552.0
